# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	1531
#@/user_id	d379290b-ffe7-4db1-8ec0-ecbfd66e25eb
a 	啊	c=3 d=1.69003 t=1531
wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wen wen dang dang deng deng deng deng di wei wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wang wa wa sheng sheng shi shi sheng sheng shi shi da an e e e 	汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪穩穩當當等等等等地位汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪汪瓦瓦生生世世生生世世答案鵝鵝鵝	c=1 d=1 t=1531
wang wang wang wang wang wo en en en en en en en en en en en en e e e wo en en en en e e e 	汪汪汪汪汪我嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯鵝鵝鵝我嗯嗯嗯嗯鵝鵝鵝	c=1 d=0.985112 t=1531
wei 	爲	c=7 d=3.95346 t=1531
wei da 	偉大	c=1 d=0.932394 t=1531
wei de 	爲的	c=1 d=0.763379 t=1531
wei lai 	未來	c=1 d=0.873716 t=1531
wei shen me 	爲什麼	c=7 d=4.13398 t=1531
wei you 	唯有	c=1 d=0.900325 t=1531
wen 	問	c=3 d=2.53512 t=1531
wen 	文	c=1 d=0.683861 t=1531
wen ti 	問題	c=2 d=1.60357 t=1531
wen wen dang dang 	穩穩當當	c=0 d=0.0995012 t=1531
wo 	我	c=24 d=9.79919 t=1531
wo de 	我的	c=1 d=0.99005 t=1531
wo men 	我們	c=28 d=11.3557 t=1531
wo yao 	我要	c=3 d=2.28742 t=1531
wu 	無	c=2 d=1.54058 t=1531
wu lun 	無論	c=1 d=0.865022 t=1531
wu pin 	物品	c=1 d=0.810584 t=1531
xi yue 	喜悅	c=1 d=0.843665 t=1531
xia 	下	c=2 d=1.16973 t=1531
xia lai 	下來	c=1 d=0.99005 t=1531
xia mian 	下面	c=1 d=0.524663 t=1531
xian dai 	現代	c=2 d=1.76003 t=1531
xian zai 	現在	c=3 d=2.76181 t=1531
xiang 	像	c=2 d=1.46379 t=1531
xiang 	向	c=1 d=0.99005 t=1531
xiang si 	相似	c=1 d=0.852144 t=1531
xiang yao 	想要	c=1 d=0.900325 t=1531
xiao 	笑	c=1 d=1 t=1531
xiao mie 	消滅	c=2 d=1.52748 t=1531
